Date,BRENT
,BZ=F
12/31/2013,110.8000031
1/2/2014,107.7799988
1/3/2014,106.8899994
1/6/2014,106.7300034
1/7/2014,107.3499985
1/8/2014,107.1500015
1/9/2014,106.3899994
1/10/2014,107.25
1/13/2014,106.75
1/14/2014,106.3899994
1/15/2014,107.1299973
1/16/2014,107.0899963
1/17/2014,107.0599976
1/22/2014,108.2699966
1/23/2014,107.5800018
1/24/2014,107.8799973
1/27/2014,106.6900024
1/28/2014,107.4100037
1/29/2014,107.8499985
1/30/2014,107.9499969
1/31/2014,106.4000015
2/3/2014,106.0400009
2/4/2014,105.7799988
2/5/2014,106.25
2/6/2014,107.1900024
2/7/2014,109.5699997
2/10/2014,108.6299973
2/11/2014,108.6800003
2/12/2014,108.7900009
2/13/2014,108.7300034
2/14/2014,108.7300034
2/19/2014,110.4700012
2/20/2014,110.3000031
2/21/2014,109.8499985
2/24/2014,110.6399994
2/25/2014,109.5100021
2/26/2014,109.5199966
2/27/2014,108.9599991
2/28/2014,109.0699997
3/3/2014,111.1999969
3/4/2014,109.3000031
3/5/2014,107.7600021
3/6/2014,108.0999985
3/7/2014,109
3/10/2014,108.0800018
3/11/2014,108.5500031
3/12/2014,108.0199966
3/13/2014,107.3899994
3/14/2014,108.5699997
3/17/2014,108.5400009
3/18/2014,106.7900009
3/19/2014,105.8499985
3/20/2014,106.4499969
3/21/2014,106.9199982
3/24/2014,106.8099976
3/25/2014,106.9899979
3/26/2014,107.0299988
3/27/2014,107.8300018
3/28/2014,108.0699997
3/31/2014,107.7600021
4/1/2014,105.6200027
4/2/2014,104.7900009
4/3/2014,106.1500015
4/4/2014,106.7200012
4/7/2014,105.8199997
4/8/2014,107.6699982
4/9/2014,107.9800034
4/10/2014,107.4599991
4/11/2014,107.3300018
4/14/2014,109.0699997
4/15/2014,108.7399979
4/16/2014,108.8000031
4/17/2014,109.5299988
4/21/2014,109.9499969
4/22/2014,109.2699966
4/23/2014,109.1100006
4/24/2014,110.3300018
4/25/2014,109.5800018
4/28/2014,108.1200027
4/29/2014,108.9800034
4/30/2014,108.0699997
5/1/2014,107.7600021
5/2/2014,108.5899963
5/5/2014,107.7200012
5/6/2014,107.0599976
5/7/2014,108.1299973
5/8/2014,108.0400009
5/9/2014,107.8899994
5/12/2014,108.4100037
5/13/2014,109.2399979
5/14/2014,110.1900024
5/15/2014,110.4400024
5/16/2014,110.4199982
5/19/2014,109.3700027
5/20/2014,109.6900024
5/21/2014,110.5500031
5/22/2014,110.3600006
5/23/2014,110.5400009
5/27/2014,110.0199966
5/28/2014,109.8099976
5/29/2014,109.9700012
5/30/2014,109.4100037
6/2/2014,108.8300018
